rank,ORF,GENE,Putative TOR pathway,1 week ,2 week ,5 week ,7 weeks,Norm_1,Norm_2,Norm_5,Norm_7,Norm,Description,Function,Localization
17,YJR066W,TOR1,*,2.171933773,3.519732789,7.797660564,15.06431771,2.071530975,3.37995046,7.43624081,14.43329571,25.24948698,meiosis*,protein binding*,plasma membrane*
18,YEL014C,,,1.957779455,4.377067182,6.392485613,15.4922972,1.867276449,4.203236758,6.096195391,14.84334777,25.14277992,,,
19,YKL046C,DCW1,,2.426050669,4.304885981,5.079505719,16.7307618,2.313900714,4.133922154,4.84407181,16.02993492,25.00792888,cell wall biosynthesis (sensu Fungi),molecular_function unknown,membrane fraction*
20,YDR221W,,,1.381298013,2.585657447,3.622761078,18.02688734,1.317444231,2.482970896,3.454846944,17.27176768,23.20958552,biological_process unknown,molecular_function unknown,endoplasmic reticulum
21,YHR158C,KEL1,,1.846389096,2.835489734,4.369414823,15.84649484,1.761035374,2.722881368,4.166893462,15.18270859,22.07248342,cellular morphogenesis*,molecular_function unknown,cytoplasm*
22,YPL182C,,,2.235188307,5.584249881,6.051247702,10.88224267,2.131861418,5.36247752,5.770773778,10.42640161,21.55965291,,,
23,YGL203C,KEX1,,2.049094079,2.894133719,3.189004651,15.68202968,1.954369838,2.779196371,3.041195027,15.02513264,20.84552404,protein processing,carboxypeptidase D activity,Golgi trans face
24,YJL165C,HAL5,,2.292234514,8.705735982,8.605875443,4.168122778,2.186270529,8.359997222,8.206995117,3.993526276,20.56051862,cation homeostasis,protein kinase activity,cellular_component unknown
25,YGR163W,GTR2,*,1.098626767,1.073416241,1.29200067,18.62747607,1.047840135,1.030786692,1.232116739,17.84719863,20.11010206,biological_process unknown,small monomeric GTPase activity,cytoplasm*
26,YLR152C,,,1.822544875,2.59844624,5.244900768,13.02009885,1.738293409,2.495251797,5.001800837,12.47470616,19.97175879,biological_process unknown,molecular_function unknown,cellular_component unknown
27,YOR179C,SYC1,,1.868907176,2.692047986,5.419233872,12.62797721,1.782512503,2.585136252,5.168053642,12.09900991,19.8521998,"transcription termination from Pol II promoter, poly(A) independent*",molecular_function unknown,nucleus*
28,YNL142W,MEP2,*,0.150391247,1.028309757,5.506109286,13.13638448,0.143439054,0.987471562,5.250902401,12.58612075,18.82449472,pseudohyphal growth*,ammonium transporter activity,plasma membrane
29,YPR158W,,,1.773675682,2.741020579,4.170158326,12.4404571,1.691683311,2.632163952,3.976872457,11.91934474,18.52838115,biological_process unknown,molecular_function unknown,cellular_component unknown
30,YHR139C,SPS100,,2.085551673,2.815239031,4.674947745,11.782689,1.989142093,2.7034349,4.458265004,11.28912957,18.45082948,spore wall assembly (sensu Saccharomyces),molecular_function unknown,spore wall (sensu Fungi)
31,YGR043C,,,1.657582455,3.452679797,5.115822483,10.5998563,1.580956769,3.315560404,4.8787053,10.15584399,18.35010969,biological_process unknown,transaldolase activity,nucleus
32,YKR007W,,*,1.082477622,1.230851514,0.980445601,16.10012887,1.032437523,1.181969596,0.935002175,15.42571827,17.54269004,biological_process unknown,molecular_function unknown,vacuolar membrane (sensu Fungi)
33,YPL133C,RDS2,,2.061014381,4.414494733,4.213958042,9.63336139,1.965739096,4.239177915,4.018642067,9.229834121,17.4876541,response to xenobiotic stimulus,transcription factor activity,cytoplasm*
34,YGR044C,RME1,,1.957689878,3.218444143,3.910718054,11.0994976,1.867191013,3.090627163,3.729457181,10.63455605,17.4546404,meiosis*,specific transcriptional repressor activity,nucleus
35,YOL116W,MSN1,,2.264922195,4.029850057,3.696420396,9.950940529,2.160220787,3.86980898,3.52509217,9.534110339,16.92901149,hyperosmotic response,molecular_function unknown,nucleus
36,YCR037C,PHO87,,1.200480251,6.020940813,6.54018613,4.993760211,1.1449852,5.78182575,6.237050024,4.784578977,16.80345475,phosphate transport,inorganic phosphate transporter activity,membrane
37,YHR142W,CHS7,,2.048852725,2.138812882,4.027944797,11.23126909,1.954139641,2.053872273,3.841250492,10.76080783,16.6559306,ER to Golgi transport*,molecular_function unknown,endoplasmic reticulum membrane
38,YHR125W,,,1.870542662,2.358122054,3.488648966,11.50599463,1.784072384,2.264471822,3.326950898,11.02402552,16.61544824,,,
39,YDR490C,PKH1,,2.250997954,4.782100645,6.059174606,6.288369685,2.146940227,4.592184761,5.778333272,6.024959174,16.39547721,protein amino acid phosphorylation*,protein kinase activity,cytosol
40,YKL175W,ZRT3,,1.19176718,2.102323414,2.42829074,12.59327871,1.136674911,2.018831945,2.315740029,12.06576488,16.40033685,zinc ion homeostasis*,zinc ion transporter activity,vacuolar membrane
41,YGL252C,RTG2,*,0.896780595,0.519102116,0.979819376,15.56666473,0.855324782,0.498486545,0.934404976,14.91460015,16.34749167,intracellular signaling cascade,transcription regulator activity,cytoplasm
42,YKR095W,MLP1,,1.234576961,2.956597031,4.562677121,9.522694888,1.177505709,2.839179022,4.351198097,9.123803275,16.31418039,protein-nucleus import,molecular_function unknown,nuclear membrane*
43,YBL102W,SFT2,,2.20466874,2.92756306,7.921592513,6.151485395,2.102752691,2.811298103,7.554428542,5.893808765,16.25953541,Golgi to endosome transport,molecular_function unknown,Golgi membrane
44,YHR167W,THP2,,1.881130798,3.435430141,2.965664507,10.58660383,1.794171059,3.2989958,2.828206647,10.14314664,16.27034909,mRNA-nucleus export*,nucleic acid binding,THO complex
45,YGL139W,,,0.979389087,3.601371149,5.39757536,7.80321946,0.9341145,3.458346642,5.147398997,7.476354131,16.08209977,biological_process unknown,molecular_function unknown,integral to membrane
46,YIL156W,UBP7,,2.259250399,7.862971185,8.510918846,0.426642945,2.154811183,7.550701905,8.116439736,0.408771503,16.07591314,protein deubiquitination,ubiquitin-specific protease activity,cytoplasm
47,YHR124W,NDT80,,1.686537687,1.794500073,4.434036325,10.54208301,1.608573476,1.72323347,4.228519772,10.10049074,16.05224398,meiosis*,transcription factor activity,nuclear chromosome
48,YHR195W,NVJ1,,1.426376705,2.123919953,1.849988823,12.62649686,1.360439054,2.039570801,1.764242271,12.09759157,15.90140464,microautophagy,protein binding,nuclear membrane
49,YLR428C,,,1.960005415,1.921374183,3.36900963,11.11474734,1.869399509,1.845068914,3.212856817,10.649167,15.70709273,,,
50,YPR138C,MEP3,*,1.86852517,2.881728739,3.076307661,10.00489466,1.782148156,2.767284042,2.933721516,9.585804412,15.28680997,ammonium transport,ammonium transporter activity,plasma membrane
51,YHR209W,,,1.78878856,1.949615367,4.246438877,9.75248925,1.70609756,1.87218853,4.049617422,9.343971891,15.26577784,biological_process unknown,S-adenosylmethionine-dependent methyltransferase activity,cellular_component unknown
52,YPR021C,AGC1,*,1.893336521,1.837318057,6.770656738,7.270320556,1.805812543,1.764350985,6.456838372,6.965777575,15.18696693,transport,transporter activity,mitochondrial inner membrane
53,YER040W,GLN3,*,0.174263544,1.247607645,2.177962106,12.26767981,0.166207798,1.198060275,2.077014069,11.75380484,15.02887918,positive regulation of transcription from Pol II promoter*,transcription factor activity*,nucleus*
54,YKR034W,DAL80,*,1.610884053,2.235760523,3.901509291,9.47427609,1.536417111,2.146969745,3.720675243,9.077412669,14.94505766,transcription*,transcription factor activity,nucleus
55,YFR041C,,,1.576431801,1.294815847,2.002084995,12.04169982,1.503557497,1.243393655,1.909288821,11.53729081,14.68997329,biological_process unknown,molecular_function unknown,endoplasmic reticulum
56,YGL033W,HOP2,,1.696354512,1.4535371,5.069342377,8.752537313,1.617936495,1.395811468,4.834379537,8.385906463,14.61609747,synapsis,molecular_function unknown,condensed nuclear chromosome
57,YGR237C,,,2.171902769,8.565017159,0.365761074,6.321536686,2.071501405,8.224866893,0.348808133,6.056736859,14.63041189,biological_process unknown,molecular_function unknown,cytoplasm
58,YKL027W,,,2.356788113,2.36553391,3.357705347,9.350443166,2.247839984,2.271589324,3.202076485,8.958766923,14.43243273,biological_process unknown,molecular_function unknown,mitochondrion
59,YGR054W,,,1.189915475,1.167158437,2.650137466,11.17321845,1.134908806,1.120806019,2.527304211,10.70518885,14.35329908,translational initiation,translation initiation factor activity,cytosolic small ribosomal subunit (sensu Eukarya)*
60,YNL021W,HDA1,,1.055427552,2.763752427,4.753041539,7.458507912,1.006637906,2.65399303,4.532739169,7.14608204,14.33281424,"regulation of transcription, DNA-dependent*",histone deacetylase activity,histone deacetylase complex
61,YKL015W,PUT3,,1.388782602,1.261601756,2.446652409,11.21689319,1.324582827,1.211498625,2.333250639,10.74703411,14.29178338,positive regulation of transcription from Pol II promoter*,specific RNA polymerase II transcription factor activity,nucleus
62,YDR262W,,,1.670602333,1.742906012,4.681570225,8.377702953,1.593374772,1.673688411,4.464580534,8.02677336,14.1650423,biological_process unknown,molecular_function unknown,vacuole (sensu Fungi)
63,YBR019C,GAL10,,1.310617979,3.604911474,6.302785531,4.877674508,1.25003155,3.461746367,6.010652887,4.673355933,14.14575519,galactose metabolism,molecular_function unknown,cellular_component unknown
64,YHR126C,,,2.192570476,2.338320072,4.518364921,7.816721695,2.091213698,2.245456254,4.308939757,7.489290778,14.04368679,biological_process unknown,molecular_function unknown,cellular_component unknown
65,YML066C,SMA2,,1.521089733,1.7970462,4.952479161,7.894568445,1.450773747,1.72567848,4.722932903,7.563876642,14.01248803,spore wall assembly (sensu Saccharomyces),molecular_function unknown,cellular_component unknown
66,YBL042C,FUI1,,2.300169068,4.257796973,4.372353926,5.71427978,2.193838289,4.088703234,4.169696338,5.474917047,13.73331662,uridine transport,uridine transporter activity,plasma membrane
67,YPR031W,NTO1,,0.881403431,0.947203359,1.170095438,12.17964715,0.840658464,0.909586216,1.115861787,11.66945973,13.69490774,biological_process unknown,molecular_function unknown,cytoplasm*
68,YBR030W,,,1.660926108,4.928496583,7.986261637,1.33769441,1.584145854,4.732766745,7.616100267,1.281660369,13.63052738,phospholipid metabolism,molecular_function unknown,nucleus
69,YHR003C,,,1.409630975,2.080929002,0.845473442,11.30710045,1.344467435,1.998287188,0.806285945,10.83346273,13.63803586,biological_process unknown,molecular_function unknown,mitochondrion
70,YBR248C,HIS7,*,2.306207124,2.686738502,6.921348298,4.563192619,2.199597222,2.580037628,6.600545414,4.372047225,13.55263027,histidine biosynthesis*,imidazoleglycerol phosphate synthase activity,intracellular
71,YKL001C,MET14,*,0.162418007,0.328193319,0.612190096,13.19966645,0.154909849,0.315159481,0.583815227,12.64675193,13.54572664,methionine metabolism*,adenylyl-sulfate kinase activity,cell
72,YKL081W,TEF4,,1.144544284,1.484141952,1.234612813,11.23657707,1.091635006,1.425200882,1.177388796,10.76589347,13.36848314,translational elongation,translation elongation factor activity,ribosome
73,YHR064C,SSZ1,,0.20717958,0.481528978,0.460215576,13.0053391,0.197602212,0.462405583,0.438884691,12.46056467,13.36185494,protein biosynthesis,chaperone activity,cytoplasm
74,YER132C,PMD1,,1.652883888,3.587787863,4.089161874,6.195987776,1.576475404,3.445302802,3.899630172,5.936447007,13.28137998,sporulation,molecular_function unknown,cytoplasm
75,YGR289C,MAL11,,1.517118598,2.701892343,7.597206473,3.175882384,1.446986187,2.594589651,7.245077719,3.042849365,12.88251674,alpha-glucoside transport*,alpha-glucoside:hydrogen symporter activity*,membrane fraction
76,YPL042C,SSN3,,0.308805253,0.02096437,0.017041971,13.27978953,0.294529997,0.020131793,0.01625208,12.72351878,12.75990265,protein amino acid phosphorylation*,general RNA polymerase II transcription factor activity*,transcription factor complex
77,YGR153W,,,1.961333058,1.496788332,2.437330142,9.32889016,1.870665779,1.437345024,2.324360457,8.938116741,12.69982222,biological_process unknown,molecular_function unknown,cellular_component unknown
78,YNL014W,HEF3,,1.997055653,1.519245887,7.125579336,4.539676147,1.904737012,1.458910702,6.795310391,4.349515824,12.60373692,translational elongation,ATPase activity*,cytosolic ribosome (sensu Eukarya)
79,YDR515W,SLF1,,1.648834354,1.379625164,6.044321541,5.700287845,1.57261307,1.324834863,5.764168643,5.461511213,12.55051472,regulation of translation*,RNA binding,cytoplasm*
80,YGL195W,GCN1,*,1.145465912,5.251094769,7.656273032,0.179220058,1.092514029,5.042553298,7.301406557,0.171712795,12.51567265,regulation of translational elongation,molecular_function unknown,cytosol*
81,YGR045C,,,1.78133502,2.868252152,3.659854521,6.505546775,1.698988578,2.754342663,3.490221115,6.233039037,12.47760281,biological_process unknown,molecular_function unknown,cellular_component unknown
82,YIL056W,,,1.310231588,1.861746319,3.606932803,7.549299768,1.249663021,1.787809105,3.439752306,7.23307076,12.46063217,biological_process unknown,molecular_function unknown,cytoplasm*
83,YKL068W,NUP100,,1.444985193,1.285188441,1.574213812,10.08636707,1.37818732,1.234148591,1.501249368,9.663864063,12.39926202,mRNA-nucleus export*,structural molecule activity,nuclear pore
84,YGR059W,SPR3,,1.401011599,1.839374578,3.477574242,7.175225184,1.33624651,1.766325833,3.316389484,6.874665607,11.95738093,cell wall organization and biogenesis*,structural constituent of cytoskeleton,prospore membrane*
85,YBL103C,RTG3,*,1.278957443,2.530839272,7.129273981,2.8219578,1.219834597,2.430329765,6.79883379,2.703750159,11.93291371,transcription initiation from Pol II promoter,specific RNA polymerase II transcription factor activity,cytoplasm*
86,YKL216W,URA1,,2.265784149,4.159895627,2.968561376,5.332272853,2.161042895,3.994689933,2.830969246,5.108911825,11.934571,pyrimidine base biosynthesis,dihydroorotate dehydrogenase activity,cytoplasm
87,YHR111W,UBA4,,1.324659396,1.546569403,1.562929883,9.349014235,1.263423869,1.485149095,1.490488446,8.957397848,11.93303539,protein modification,URM1 activating enzyme activity,cytoplasm
88,YGL083W,SCY1,,1.418828362,1.209292914,6.376065689,4.841581415,1.353239651,1.161267172,6.080536527,4.638774726,11.88057842,biological_process unknown,molecular_function unknown,clathrin-coated vesicle
89,YNL016W,PUB1,,1.963400825,5.240127197,4.796309859,2.374904067,1.872637958,5.032021291,4.574002012,2.275422846,11.88144615,"mRNA catabolism, nonsense-mediated",nucleic acid binding,cytoplasm*
90,YLR455W,,,1.737825569,1.362289904,3.933685479,7.079994771,1.657490454,1.308188054,3.751360072,6.783424255,11.84297238,biological_process unknown,molecular_function unknown,nucleus
91,YBR012C,,,1.960379661,5.644431242,6.454463106,0.270660319,1.869756455,5.420268844,6.155300242,0.259322758,11.83489184,,,
92,YGR108W,CLB1,,1.61831509,2.207062963,2.558410187,7.552731128,1.543504631,2.119411877,2.43982847,7.236358385,11.79559873,G2/M transition of mitotic cell cycle*,"cyclin-dependent protein kinase, intrinsic regulator activity",nucleus
93,YMR015C,ERG5,,1.908936802,4.752928948,2.876792106,4.65828502,1.820691664,4.564171586,2.743453461,4.463156346,11.77078139,ergosterol biosynthesis,C-22 sterol desaturase activity,endoplasmic reticulum
94,YDL034W,,,1.88508802,2.233502039,6.477955456,3.536662629,1.797945349,2.144800954,6.177703727,3.388517059,11.71102174,,,
95,YML062C,MFT1,,1.785041278,3.382453068,3.293308623,5.547154032,1.702523505,3.248122653,3.140664534,5.314791949,11.70357914,mRNA-nucleus export*,nucleic acid binding,THO complex
96,YCR048W,ARE1,,2.038465081,3.473879928,5.944149494,2.769438394,1.944232191,3.335918595,5.668639547,2.653430713,11.65798886,sterol metabolism,sterol O-acyltransferase activity,endoplasmic reticulum
97,YHR161C,YAP1801,,2.002154523,2.024090237,2.199881634,7.925891794,1.909600175,1.943705712,2.097917632,7.593887903,11.63551125,endocytosis,cytoskeletal adaptor activity,actin cortical patch (sensu Saccharomyces)
98,YGL057C,,,1.138517939,1.462946356,5.930980427,4.749958985,1.085887243,1.404847045,5.656080863,4.550990224,11.61191813,biological_process unknown,molecular_function unknown,mitochondrion
99,YIL173W,VTH1,,1.471696096,4.201455769,7.415038057,0.481985206,1.403663448,4.03459956,7.071352767,0.461795558,11.56774788,Golgi to vacuole transport,signal sequence binding,endosome
100,YGR107W,,,1.801577421,2.356617105,1.761206849,7.856198659,1.718295225,2.26302664,1.679575321,7.52711411,11.46971607,,,
101,YKR009C,FOX2,,1.567113915,2.269432443,2.190617079,7.457452852,1.494670352,2.179304422,2.089082487,7.145071175,11.41345808,fatty acid beta-oxidation,3-hydroxyacyl-CoA dehydrogenase activity*,peroxisomal matrix
102,YHR159W,,,1.884719097,2.293426148,2.482639166,7.101086099,1.79759348,2.202345243,2.367569418,6.803632099,11.37354676,biological_process unknown,molecular_function unknown,cytoplasm
103,YER137C,,,2.235341907,3.9014341,3.849274948,4.11772887,2.132007918,3.746492922,3.670861949,3.945243294,11.36259817,biological_process unknown,molecular_function unknown,cellular_component unknown
104,YKL044W,,,1.771887588,2.307980563,3.733211366,5.773835581,1.689977876,2.216321645,3.560177887,5.531978143,11.30847768,,,
105,YPR156C,TPO3,,2.053364941,3.790529885,5.270905625,2.72419123,1.958443269,3.639993147,5.026600375,2.610078886,11.27667241,polyamine transport,spermine transporter activity,plasma membrane*
106,YHR157W,REC104,,1.912163687,2.506070251,3.283862766,5.957128543,1.823769379,2.406544419,3.13165649,5.707593234,11.24579414,meiotic recombination*,molecular_function unknown,cellular_component unknown
107,YBR028C,,,1.71996224,5.689495405,8.042103131,-2.174498536,1.6404529,5.463543333,7.669353521,-2.083412007,11.04948485,biological_process unknown,protein kinase activity,cytoplasm
108,YPR011C,,,1.498329496,2.591629555,5.944095805,2.946231379,1.429065656,2.488705829,5.668588347,2.822818102,10.98011228,transport,transporter activity,mitochondrial inner membrane
109,YIL157C,FMP35,,2.174036306,3.805144909,7.129575084,0.485575377,2.073536314,3.654027751,6.799120937,0.465235342,10.91838403,biological_process unknown,molecular_function unknown,mitochondrion
110,YPR114W,,,2.109924723,4.122385669,4.552741298,2.709862458,2.012388441,3.958669642,4.341722797,2.596350325,10.89674276,biological_process unknown,molecular_function unknown,endoplasmic reticulum
111,YIL058W,,,1.669151084,2.680732555,6.082724838,2.580672467,1.59199061,2.574270201,5.800791956,2.472571912,10.84763407,,,
112,YDL215C,GDH2,,2.389713399,5.220361032,5.067030297,1.037121158,2.279243221,5.013040117,4.832174621,0.993677686,10.83889242,nitrogen metabolism,glutamate dehydrogenase activity,soluble fraction
113,YBR220C,,,2.326699325,4.589464459,5.623261602,1.096473843,2.219142122,4.40719891,5.362624734,1.050544174,10.82036782,biological_process unknown,molecular_function unknown,cellular_component unknown
114,YPL145C,KES1,,1.767119502,4.870750106,2.50801198,3.884955975,1.685430206,4.677313606,2.391766208,3.722220912,10.79130073,vesicle-mediated transport*,oxysterol binding,cytoplasm
115,YBL066C,SEF1,,1.840441123,1.963495619,5.572554039,3.691360386,1.755362361,1.885517543,5.314267455,3.536734756,10.73651975,biological_process unknown,molecular_function unknown,cellular_component unknown
116,YNR049C,MSO1,,1.626936267,2.385352955,5.503782425,3.305082506,1.551727274,2.290621278,5.248683389,3.166637485,10.70594215,sporulation (sensu Saccharomyces)*,molecular_function unknown,microsome
117,YPR157W,,,1.580047802,1.680620819,3.383053467,6.128654148,1.507006339,1.613876806,3.226249725,5.871933885,10.71206042,biological_process unknown,molecular_function unknown,cellular_component unknown
118,YER059W,PCL6,,2.137639785,2.713692245,7.43828137,1.023474622,2.038822308,2.605920933,7.093518758,0.980602783,10.68004247,regulation of glycogen biosynthesis*,"cyclin-dependent protein kinase, intrinsic regulator activity",cyclin-dependent protein kinase holoenzyme complex
119,YBR018C,GAL7,,1.650005697,2.765582188,7.26900483,1.135490606,1.573730264,2.655750124,6.932088146,1.087926583,10.67576485,galactose metabolism,UTP-hexose-1-phosphate uridylyltransferase activity,cytoplasm
120,YBR072W,HSP26,,2.18804043,2.483050392,5.463300637,3.219508772,2.086893064,2.384438768,5.210077923,3.084648309,10.679165,response to stress*,chaperone activity*,cytoplasm*
121,YBL107C,,,2.24645082,2.275963112,7.312443706,1.547336896,2.142603295,2.185575732,6.97351364,1.482521241,10.64161061,biological_process unknown,molecular_function unknown,cytoplasm
122,YJL132W,,,2.047632689,2.667379846,6.415558644,1.959593787,1.952976004,2.56144778,6.118198993,1.8775093,10.55715607,biological_process unknown,molecular_function unknown,cellular_component unknown
123,YLR187W,,,1.092569557,1.023746568,1.30685004,8.666674293,1.042062934,0.983089595,1.246277845,8.303640118,10.53300756,biological_process unknown,molecular_function unknown,cytoplasm*
124,YIL168W,SDL1,,1.52903665,3.741134676,6.746759686,0.45660992,1.458353299,3.592559614,6.434048943,0.437483205,10.46409176,serine family amino acid metabolism,L-serine ammonia-lyase activity,cellular_component unknown
125,YIL121W,QDR2,,2.276888285,4.182157238,6.610173418,0.148924284,2.171633716,4.016067449,6.303793417,0.142686066,10.46254693,biological_process unknown,molecular_function unknown,cellular_component unknown
126,YNR056C,BIO5,,1.997164922,2.203177552,1.286902453,7.450138049,1.90484123,2.115680771,1.227254824,7.138062779,10.48099837,biotin biosynthesis*,permease activity,plasma membrane
127,YPR151C,SUE1,,1.263483479,1.802021531,6.333741954,2.753493925,1.205075954,1.730456222,6.040174487,2.638154135,10.40878484,biological_process unknown,molecular_function unknown,cellular_component unknown
128,YGL079W,,,2.198264493,1.97835201,5.730520987,3.138533674,2.096644495,1.899783929,5.464912672,3.007065138,10.37176174,biological_process unknown,molecular_function unknown,endosome
129,YIR023W,DAL81,,1.527101156,4.669108224,5.293102437,0.779240881,1.456507278,4.48367971,5.04776837,0.746599632,10.27804771,regulation of transcription from Pol II promoter*,specific RNA polymerase II transcription factor activity,nucleus
130,YGR291C,,,1.986758433,1.477836941,6.804028288,2.451461071,1.894915805,1.419146267,6.488663159,2.34877299,10.25658242,,,
131,YCL013W,,,2.158505258,5.429339304,4.418626844,0.779393989,2.058723225,5.213719046,4.213824517,0.746746327,10.17428989,,,
132,YOL106W,,,2.186157061,1.23576727,1.030996579,8.325559162,2.085096758,1.186690128,0.983210127,7.976813795,10.14671405,,,
133,YBR015C,MNN2,,1.780093301,2.441829556,7.318580528,0.764219714,1.69780426,2.344854972,6.979366022,0.73220768,10.05642867,protein amino acid glycosylation,"alpha-1,2-mannosyltransferase activity",Golgi apparatus
134,YMR326C,,,1.793289858,2.750749313,3.68651008,4.052631277,1.710390775,2.64150632,3.515641195,3.882872543,10.04002006,,,
135,YKL176C,LST4,,1.133403332,1.70285831,2.277733495,6.462556195,1.081009071,1.635231159,2.172161077,6.191849269,9.999241505,vesicle-mediated transport*,protein transporter activity,vesicle coat
136,YPL017C,,,1.331577779,3.188299723,6.119370766,1.1039515,1.270022433,3.061679895,5.835739354,1.057708603,9.955127852,biological_process unknown,S-adenosylmethionine-dependent methyltransferase activity,cytoplasm
137,YLR327C,,,1.222014111,1.087569613,1.503656106,7.820000459,1.165523606,1.044377978,1.433961995,7.492432199,9.970772172,biological_process unknown,molecular_function unknown,cytoplasm*
138,YBR013C,,,2.060892794,4.819475151,4.961152025,0.585122527,1.965623129,4.628074979,4.731203782,0.560612609,9.919891371,biological_process unknown,molecular_function unknown,cellular_component unknown
139,YBR071W,,,1.835140045,2.741522353,5.931749212,1.691278529,1.750306337,2.632645799,5.656814015,1.620433371,9.909893185,biological_process unknown,molecular_function unknown,cytoplasm
140,YPL150W,,,2.365476563,4.074080307,5.241649211,1.048015672,2.25612679,3.912282674,4.998699989,1.004115845,9.915098508,biological_process unknown,protein kinase activity,cellular_component unknown
141,YBR114W,RAD16,,1.739083736,1.68450361,4.571872985,4.102767844,1.65869046,1.617605396,4.359967735,3.930908964,9.908482095,"nucleotide-excision repair, DNA damage recognition",DNA dependent ATPase activity,repairosome*
142,YGL248W,PDE1,,1.979537202,3.768822481,4.643997615,1.932239923,1.888028393,3.619147828,4.428749405,1.851301249,9.899198482,cAMP-mediated signaling,cAMP-specific phosphodiesterase activity,cellular_component unknown
143,YPR009W,SUT2,,2.230763434,3.830223838,3.057281932,3.453027646,2.127641096,3.678110698,2.915577625,3.308385422,9.902073745,regulation of transcription from Pol II promoter*,specific RNA polymerase II transcription factor activity,cellular_component unknown
144,YDL053C,PBP4,,1.160353684,1.904233798,3.287845283,5.132719624,1.106713579,1.828609241,3.135454419,4.917717586,9.881781245,biological_process unknown,molecular_function unknown,cytoplasm*
145,YKR087C,,,1.945554356,3.464219495,2.7629478,4.02538024,1.855616485,3.326641816,2.634885812,3.856763012,9.81829064,biological_process unknown,molecular_function unknown,mitochondrion
146,YIL159W,BNR1,,2.180412599,2.597597237,7.419823703,0.225255445,2.079617848,2.494436511,7.0759166,0.215819827,9.786172938,actin filament organization*,cytoskeletal protein binding,contractile ring (sensu Saccharomyces)
147,YIL131C,FKH1,,1.489985424,1.642826276,4.209547616,4.374787007,1.421107309,1.577583232,4.014436063,4.191533646,9.78355294,pseudohyphal growth*,transcription factor activity,nucleus
148,YLL015W,BPT1,,1.97714998,2.294556231,3.082048712,4.802977223,1.885751526,2.203430446,2.939196471,4.601787607,9.744414524,bilirubin transport*,bilirubin transporter activity*,vacuolar membrane (sensu Fungi)
